date,value
2019-11-07,12.52
2019-11-08,13.02
2019-11-11,13.4
2019-11-12,13.55
2019-11-13,14.45
2019-11-14,15.35
2019-11-15,15.1
2019-11-18,15.69
2019-11-19,16.09
2019-11-20,16.24
2019-11-21,16.43
2019-11-22,15.67
2019-11-25,15.35
2019-11-26,15.95
2019-11-27,16.049999
2019-11-29,16.42
2019-12-02,16.02
2019-12-03,15.44
2019-12-04,15.17
2019-12-05,15.5
2019-12-06,15.15
2019-12-09,15.32
2019-12-10,15.75
2019-12-11,15.43
2019-12-12,15.61
2019-12-13,16.02
2019-12-16,16.139999
2019-12-17,16.389999
2019-12-18,16.26
2019-12-19,16.26
2019-12-20,15.91
2019-12-23,15.67
2019-12-24,15.82
2019-12-26,15.55
2019-12-27,15.57
2019-12-30,15.95
2019-12-31,15.91
2020-01-02,15.93
2020-01-03,15.93
2020-01-06,15.94
2020-01-07,16.290001
2020-01-08,16.43
2020-01-09,16.08
2020-01-10,15.88
2020-01-13,15.37
2020-01-14,15.71
2020-01-15,15.75
2020-01-16,15.77
2020-01-17,15.58
2020-01-21,15.76
2020-01-22,15.65
2020-01-23,15.56
2020-01-24,15.36
2020-01-27,14.61
2020-01-28,14.86
2020-01-29,14.89
2020-01-30,14.89
2020-01-31,15.78
2020-02-03,14.93
2020-02-04,15.9
2020-02-05,15.99
2020-02-06,16.15
2020-02-07,16.25
2020-02-10,16.15
2020-02-11,16.190001
2020-02-12,16.25
2020-02-13,16.309999
2020-02-14,16.309999
2020-02-18,16.389999
2020-02-19,16.65
2020-02-20,16.52
2020-02-21,16.6
2020-02-24,16.4
2020-02-25,16.280001
2020-02-26,16.25
2020-02-27,15.99
2020-02-28,14.74
2020-03-02,15.53
2020-03-03,15.24
2020-03-04,15.35
2020-03-05,15.07
2020-03-06,14.66
2020-03-09,12.74
2020-03-10,12.87
2020-03-11,11.14
2020-03-12,7.63
2020-03-13,9.92
2020-03-16,9.6
2020-03-17,9.97
2020-03-18,8.93
2020-03-19,9.13
2020-03-20,9.71
2020-03-23,8.74
2020-03-24,9.1
2020-03-25,9.64
2020-03-26,10.01
2020-03-27,8.86
2020-03-30,9.73
2020-03-31,9.54
2020-04-01,8.58
2020-04-02,8.57
2020-04-03,8.25
2020-04-06,9
2020-04-07,8.73
2020-04-08,9.34
2020-04-09,11.3
2020-04-13,10.4
2020-04-14,10.32
2020-04-15,9.59
2020-04-16,10
2020-04-17,13.72
2020-04-20,13.82
2020-04-21,13.02
2020-04-22,13.11
2020-04-23,13.29
2020-04-24,13.5
2020-04-27,14.03
2020-04-28,14.26
2020-04-29,15.76
2020-04-30,15.9
2020-05-01,15.23
2020-05-04,14.36
2020-05-05,14.57
2020-05-06,13.4
2020-05-07,13.38
2020-05-08,14
2020-05-11,13.73
2020-05-12,14.83
2020-05-13,14.21
2020-05-14,14.44
2020-05-15,14.25
2020-05-18,14.59
2020-05-19,14.56
2020-05-20,14.87
2020-05-21,14.79
2020-05-22,15.06
2020-05-26,14.8
2020-05-27,14.73
2020-05-28,14.52
2020-05-29,14.59
2020-06-01,13.87
2020-06-02,14.66
2020-06-03,14.66
2020-06-04,14.75
2020-06-05,14.94
2020-06-08,14.82
2020-06-09,14.85
2020-06-10,14.39
2020-06-11,13.66
2020-06-12,13.92
2020-06-15,14.34
2020-06-16,14.74
2020-06-17,14.71
2020-06-18,14.8
2020-06-19,14.69
2020-06-22,14.76
2020-06-23,14.75
2020-06-24,14.17
2020-06-25,14.46
2020-06-26,13.25
2020-06-29,13.8
2020-06-30,14
2020-07-01,13.59
2020-07-02,13.5
2020-07-06,13.35
2020-07-07,12.89
2020-07-08,13
2020-07-09,12.36
2020-07-10,13.16
2020-07-13,13.3
2020-07-14,13.33
2020-07-15,13.94
2020-07-16,13.79
2020-07-17,13.43
2020-07-20,13.33
2020-07-21,13.83
2020-07-22,13.79
2020-07-23,14
2020-07-24,13.9
2020-07-27,14.15
2020-07-28,14.11
2020-07-29,14.44
2020-07-30,14.34
2020-07-31,13.67
2020-08-03,13.95
2020-08-04,13.81
2020-08-05,14.09
2020-08-06,14.15
2020-08-07,14.58
2020-08-10,14.07
2020-08-11,14.3
2020-08-12,14.72
2020-08-13,14.56
2020-08-14,14.85
2020-08-17,14.99
2020-08-18,14.71
2020-08-19,15.01
2020-08-20,14.98
2020-08-21,14.78
2020-08-24,14.87
2020-08-25,14.98
2020-08-26,14.99
2020-08-27,15.33
2020-08-28,14.98
2020-08-31,14.93
2020-09-01,15.46
2020-09-02,15.05
2020-09-03,14.72
2020-09-04,14.43
2020-09-08,14.36
2020-09-09,14.62
2020-09-10,14.56
2020-09-11,14.98
2020-09-14,15.92
2020-09-15,15.95
2020-09-16,15.9
2020-09-17,15.98
2020-09-18,15.98
2020-09-21,14.52
2020-09-22,14.28
2020-09-23,13.69
2020-09-24,13.73
2020-09-25,13.75
2020-09-28,14.37
2020-09-29,14.2
2020-09-30,14.4
2020-10-01,14.6
2020-10-02,14.66
2020-10-05,14.73
2020-10-06,15.09
2020-10-07,15.35
2020-10-08,15.75
2020-10-09,15.49
2020-10-12,16.139999
